tconst,primary_title,averagerating,numvotes,start_year,runtime_minutes,genres,weighted_rating
tt1462769,The Odd Life of Timothy Green,6.6,42770,2012,105.0,"Comedy,Drama,Family",6.501405120259701
tt1621045,Think Like a Man,6.6,41043,2012,122.0,"Comedy,Romance",6.498826900655633
tt2975590,Batman v Superman: Dawn of Justice,6.5,576909,2016,151.0,"Action,Adventure,Fantasy",6.493052479693774
tt1411697,The Hangover Part II,6.5,432800,2011,102.0,"Comedy,Mystery",6.490865498034076
tt1014759,Alice in Wonderland,6.5,358813,2010,108.0,"Adventure,Family,Fantasy",6.489104655131536
tt0974015,Justice League,6.5,329135,2017,120.0,"Action,Adventure,Fantasy",6.488191579482401
tt2091473,Promised Land,6.6,34659,2012,106.0,Drama,6.4880005531437
tt1320253,The Expendables,6.5,307897,2010,103.0,"Action,Adventure,Thriller",6.487438231645223
tt1231583,Due Date,6.5,303523,2010,95.0,"Adventure,Comedy",6.487270982549167
tt6306064,Adrift,6.6,34115,2018,96.0,"Action,Adventure,Biography",6.486969889199018
tt1846589,Hunter Killer,6.6,33983,2018,122.0,"Action,Thriller",6.486716935388163
tt2788710,The Interview,6.5,286341,2014,112.0,Comedy,6.486568505272354
tt2302755,Olympus Has Fallen,6.5,235443,2013,119.0,"Action,Thriller",6.483943607622397
tt3110958,Now You See Me 2,6.5,216219,2016,129.0,"Action,Adventure,Comedy",6.482663989984205
tt3402236,Murder on the Orient Express,6.5,178603,2017,114.0,"Crime,Drama,Mystery",6.479461132694508
tt2118624,The Final Girls,6.6,30219,2015,88.0,"Comedy,Drama,Fantasy",6.478995001720422
tt3797868,The Choice,6.6,30117,2016,111.0,"Drama,Romance",6.4787710688172435
tt2709768,The Secret Life of Pets,6.5,161997,2016,87.0,"Adventure,Animation,Comedy",6.477637208083553
tt2369135,Need for Speed,6.5,154909,2014,132.0,"Action,Crime,Thriller",6.476756165617062
tt3631112,The Girl on the Train,6.5,150977,2016,112.0,"Crime,Drama,Mystery",6.476236809355768
tt2555736,The Second Best Exotic Marigold Hotel,6.6,28931,2015,122.0,"Comedy,Drama",6.476105115796109
tt1462900,The Grandmaster,6.6,28781,2013,130.0,"Action,Biography,Drama",6.475759561927074
tt1288558,Evil Dead,6.5,146399,2013,91.0,"Fantasy,Horror,Thriller",6.475602103862916
tt0458481,Sin City: A Dame to Kill For,6.5,140666,2014,102.0,"Crime,Thriller",6.47475779580602
tt2239822,Valerian and the City of a Thousand Planets,6.5,139792,2017,137.0,"Action,Adventure,Fantasy",6.474623919850478
tt5117670,Peter Rabbit,6.6,27908,2018,95.0,"Adventure,Animation,Comedy",6.473709552430634
tt2398231,The Homesman,6.6,27724,2014,122.0,"Drama,Western",6.473268814960929
tt1405365,Celeste & Jesse Forever,6.6,27588,2012,92.0,"Comedy,Drama,Romance",6.47294107020613
tt2975578,The Purge: Anarchy,6.5,126203,2014,103.0,"Action,Horror,Sci-Fi",6.472343306680423
tt5962210,Ingrid Goes West,6.6,27054,2017,98.0,"Comedy,Drama",6.4716376263111375
tt2554274,Crimson Peak,6.5,119287,2015,119.0,"Drama,Fantasy,Horror",6.471017659248581
tt1448755,Killer Elite,6.5,117711,2011,116.0,"Action,Crime,Thriller",6.4706975986434125
tt1951181,The Immigrant,6.6,26618,2013,120.0,"Drama,Romance",6.470553392227517
tt1615065,Savages,6.5,115793,2012,131.0,"Crime,Drama,Thriller",6.470298416824701
tt1524137,Contraband,6.5,111709,2012,109.0,"Action,Crime,Drama",6.469411121433117
tt1592281,Take This Waltz,6.6,25866,2011,116.0,"Comedy,Drama",6.468639661070262
tt1179034,From Paris with Love,6.5,107079,2010,92.0,"Action,Crime,Thriller",6.468338835091119
tt2388715,Oculus,6.5,106906,2013,104.0,"Horror,Mystery",6.468297310205753
tt1086772,Blended,6.5,106491,2014,117.0,"Comedy,Romance",6.468197253043934
tt1547234,Premium Rush,6.5,105279,2012,91.0,"Action,Crime,Thriller",6.467901388558402
tt0365907,A Walk Among the Tombstones,6.5,105116,2014,114.0,"Action,Crime,Drama",6.467861177718343
